meeting_id,circuit_id,round_number,season,gp_name,date_start,date_end,timezone,country_code,openf1_meeting_key,openf1_circuit_key,meeting_official_name,country_name,city
mtg:pre-season-testing-2024,circuit:sakhir-63,,2024,Pre-Season Testing,2024-02-21 07:00:00+00,,,BHR,1228,63,FORMULA 1 ARAMCO PRE-SEASON TESTING 2024,Bahrain,
mtg:chinese-grand-prix-2024,circuit:shanghai-49,,2024,Chinese Grand Prix,2024-04-19 03:30:00+00,,,CHN,1233,49,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,China,
mtg:british-grand-prix-2024,circuit:silverstone-2,,2024,British Grand Prix,2024-07-05 11:30:00+00,,,GBR,1240,2,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,Great Britain,
mtg:british-grand-prix-2023,circuit:silverstone-2,,2023,British Grand Prix,2023-07-07 11:30:00+00,,,GBR,1214,2,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,Great Britain,
mtg:singapore-grand-prix-2024,circuit:singapore-61,,2024,Singapore Grand Prix,2024-09-20 09:30:00+00,,,SGP,1246,61,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,Singapore,
mtg:singapore-grand-prix-2023,circuit:singapore-61,,2023,Singapore Grand Prix,2023-09-15 09:30:00+00,,,SGP,1219,61,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 ,Singapore,
mtg:belgian-grand-prix-2024,circuit:spa-francorchamps-7,,2024,Belgian Grand Prix,2024-07-26 11:30:00+00,,,BEL,1242,7,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,Belgium,
mtg:belgian-grand-prix-2023,circuit:spa-francorchamps-7,,2023,Belgian Grand Prix,2023-07-28 11:30:00+00,,,BEL,1216,7,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,Belgium,
mtg:austrian-grand-prix-2024,circuit:spielberg-19,,2024,Austrian Grand Prix,2024-06-28 10:30:00+00,,,AUT,1239,19,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,Austria,
mtg:japanese-grand-prix-2024,circuit:suzuka-46,,2024,Japanese Grand Prix,2024-04-05 02:30:00+00,,,JPN,1232,46,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,Japan,
mtg:japanese-grand-prix-2023,circuit:suzuka-46,,2023,Japanese Grand Prix,2023-09-22 02:30:00+00,,,JPN,1220,46,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 ,Japan,
mtg:dutch-grand-prix-2024,circuit:zandvoort-55,,2024,Dutch Grand Prix,2024-08-23 10:30:00+00,,,NLD,1243,55,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,Netherlands,
mtg:dutch-grand-prix-2023,circuit:zandvoort-55,,2023,Dutch Grand Prix,2023-08-25 10:30:00+00,,,NLD,1217,55,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,Netherlands,
mtg:saudi-arabian-grand-prix-2024,circuit:jeddah-149,,2024,Saudi Arabian Grand Prix,2024-03-07 13:30:00+00,,,SAU,1230,149,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,Saudi Arabia,
mtg:abu-dhabi-grand-prix-2024,circuit:yas-marina-circuit-70,,2024,Abu Dhabi Grand Prix,2024-12-06 09:30:00+00,,,ARE,1252,70,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,United Arab Emirates,
mtg:abu-dhabi-grand-prix-2023,circuit:yas-marina-circuit-70,,2023,Abu Dhabi Grand Prix,2023-11-24 09:30:00+00,,,ARE,1226,70,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 ,United Arab Emirates,
mtg:dutch-grand-prix-2025,circuit:zandvoort-55,,2025,Dutch Grand Prix,2025-08-29 10:30:00+00,,,NLD,1267,55,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,Netherlands,
